UFID,Set,Year,Project,LoadSlope,AvgShortLength,SWGarea,AngusGBC,BrahmanGBC
100001,1,2016,Semin,17.4415893,6.4684,NA,0.645767,0.354233
100002,1,2016,Semin,21.3174981,7.6126,NA,0.781545,0.218455
100003,1,2016,Semin,23.9083462,7.0294,NA,0.780343,0.219657
100004,1,2016,Semin,20.0117106,8.8716,NA,0.729902,0.270098
100005,1,2016,Semin,27.1106344,7.44,NA,0.803744,0.196256
100006,1,2016,Semin,18.7162866,5.7984,NA,0.696748,0.303252
100007,1,2016,Semin,31.0072699,8.6752,NA,0.738578,0.261422
100008,1,2016,Semin,30.3440128,8.8012,NA,0.698558,0.301442
100009,1,2016,Semin,32.302694,6.9932,NA,0.808334,0.191666
100010,1,2016,Semin,25.8670273,7.1196,NA,0.728896,0.271104
100011,1,2016,Semin,28.4267852,8.1192,NA,0.647732,0.352268
100012,1,2016,Semin,23.9083462,6.391,NA,0.628648,0.371352
100013,1,2016,Semin,31.6601636,8.1398,NA,0.748713,0.251287
100014,1,2016,Semin,21.3278615,5.9342,NA,0.677632,0.322368
100015,1,2016,Semin,35.4635286,6.663,NA,0.79652,0.20348
100016,1,2016,Semin,24.5197863,5.761,NA,0.736581,0.263419
100017,1,2016,Semin,20.6646044,9.3272,NA,0.859318,0.140682
100018,1,2016,Semin,15.5139984,7.867,NA,0.533923,0.466077
100019,1,2016,Semin,23.9083462,7.3324,NA,0.823618,0.176382
100020,1,2016,Semin,22.6025587,9.4364,NA,0.817852,0.182148
100021,1,2016,Semin,34.2406483,10.0572,NA,0.837898,0.162102
100022,1,2016,Semin,36.2200563,9.8484,NA,0.717686,0.282314
100023,1,2016,Semin,16.1668921,6.144,NA,0.756613,0.243387
100024,1,2016,Semin,40.0441481,5.371,NA,0.808423,0.191577
100025,1,2016,Semin,42.0442828,7.7132,NA,0.779655,0.220345
100026,1,2016,Semin,12.9127869,3.7676,NA,0.701032,0.298968
100027,1,2016,Semin,36.8004062,3.9268,NA,0.634624,0.365376
100028,1,2016,Semin,14.2082109,6.444,NA,0.81976,0.18024
100029,1,2016,Semin,28.4164218,8.2186,NA,0.687896,0.312104
100030,1,2016,Semin,21.2967713,7.8122,NA,0.768542,0.231458
100031,1,2016,Semin,29.0796789,5.7054,NA,0.755716,0.244284
100032,1,2016,Semin,10.9644691,9.0828,NA,0.681882,0.318118
100033,1,2016,Semin,21.3278615,7.5058,NA,0.805252,0.194748
100034,1,2016,Semin,37.4222098,9.5488,NA,0.794928,0.205072
100035,1,2016,Semin,16.1565287,6.9442,NA,0.783281,0.216719
100036,1,2016,Semin,26.4888309,7.6398,NA,0.76425,0.23575
100037,1,2016,Semin,37.4429366,5.2138,NA,0.68056,0.31944
100038,1,2016,Semin,36.1682393,8.6688,NA,0.742263,0.257737
100039,1,2016,Semin,16.1461653,4.4992,NA,0.662872,0.337128
100040,1,2016,Semin,14.1978475,2.3808,NA,0.179204,0.820796
100041,1,2016,Semin,21.9703918,5.6324,NA,0.777058,0.222942
100042,1,2016,Semin,12.9231503,6.9558,NA,0.771025,0.228975
100043,1,2016,Semin,23.8979828,4.1104,NA,0.73599,0.26401
100044,1,2016,Semin,25.8359371,7.463,NA,0.726307,0.273693
100045,1,2016,Semin,36.8004062,7.1576,NA,0.610861,0.389139
100046,1,2016,Semin,31.0176333,7.4822,NA,0.742521,0.257479
100047,1,2016,Semin,19.3588169,6.0102,NA,0.654772,0.345228
100048,1,2016,Semin,25.2037702,5.0706,NA,0.793667,0.206333
100049,1,2016,Semin,23.2347257,6.7366,NA,0.714265,0.285735
100050,1,2016,Semin,25.8463005,4.4356,NA,0.788019,0.211981
100051,1,2016,Semin,31.0176333,9.6372,NA,0.757348,0.242652
100052,1,2016,Semin,21.9600284,5.1022,NA,0.804555,0.195445
100053,1,2016,Semin,40.676315,7.0302,NA,0.68891,0.31109
100054,1,2016,Semin,36.8418598,5.2794,NA,0.738311,0.261689
100055,1,2016,Semin,28.395695,2.5442,NA,0.485732,0.514268
100056,1,2016,Semin,16.7783322,3.2022,NA,0.612672,0.387328
100057,1,2016,Semin,30.323286,5.3124,NA,0.760143,0.239857
